30, 30, 256, 2728
32, 80, 312, 2111
100, 130, 190, 510
230, 230, 97, 2495
230, 230, 191, 2351
230, 230, 95, 2191
230, 230, 255, 2191
230, 230, 353, 2191
230, 230, 193, 1119
230, 230, 256, 119
230, 230, 65, 911
230, 230, 255, 911
230, 230, 289, 879
230, 230, 319, 845
230, 230, 191, 637
230, 230, 320, 637
230, 230, 384, 637
230, 230, 128, 542
30, 40, 160, 95
30, 40, 222, 126
30, 40, 350, 126
30, 40, 320, 157
67, 67, 384, 510
30, 40, 166, 965
30, 40, 132, 1029
30, 40, 319, 1020
25, 161, 190, 1160
30, 40, 125, 1160
30, 40, 310, 1160
30, 40, 287, 1230
30, 40, 255, 1263
30, 40, 157, 1263
30, 40, 128, 1302
30, 40, 192, 1359
72, 73, 65, 1328
30, 40, 37, 1476
37, 70, 65, 1533
37, 70, 65, 2287
30, 40, 129, 2320
30, 40, 357, 2261
30, 40, 294, 2293
30, 40, 161, 2432
30, 40, 193, 2465
74, 74, 319, 2431
30, 40, 164, 2566
30, 40, 288, 2596
30, 40, 255, 2671
40, 65, 289, 2704
30, 40, 293, 2804
