65, 2872
65, 2142
320, 2142
320, 2112
180, 2112
180, 1947
223, 1947
223, 1919
160, 1919
286, 1772
270, 1726
130, 1726
130, 1762
70, 2081
25, 1765
25, 1362
58, 1322
58, 1269
25, 1263
25, 1186
60, 1151
60, 1120
90, 1091
90, 1040
25, 990
25, 945
60, 911
66, 750
25, 750
25, 590
98, 590
98, 510
50, 510
60, 466
128, 466
187, 462
187, 290
137, 290
90, 240
90, 97
123, 64
388, 64
422, 98
422, 239
367, 250
327, 291
327, 400
389, 462
455, 462
455, 516
487, 546
487, 607
445, 607
445, 642
487, 645
487, 753
430, 803
370, 760
238, 760
221, 793
142, 793
142, 847
256, 847
288, 814
309, 847
422, 847
486, 913
486, 966
447, 966
447, 1215
290, 1374
290, 1454
130, 1614
130, 1661
272, 1661
352, 1571
352, 1670
457, 1670
457, 1806
357, 1775
357, 1810
386, 1841
457, 1841
487, 1871
487, 1929
257, 1920
277, 1951
496, 1951
496, 2112
385, 2112
385, 2144
490, 2144
490, 2254
420, 2316
488, 2387
488, 2432
455, 2452
455, 2560
489, 2594
489, 2872
